StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,EasierOrHarder,ProjectChoice,Wager_1,AttImport_MV,AttImport_SA,AttImport_MS,AttImport_NC,BecameConfident,NotEnoughRound,CouldPredict,AttribUseful,AttribDiff,SubjSlope,turkid,condid,bonusearned
24/9/2019 21:46,24/9/2019 21:47,0,100,73,1,24/9/2019 21:47,R_1kTbAjiuIs0jNWj,6,1,5,3,2,5,5,6,2,6,6,6,6,AM0QVBV8L6QCJ,2,20
24/9/2019 21:45,24/9/2019 21:47,0,100,120,1,24/9/2019 21:47,R_3ffwCoSQHI32rbZ,6,2,10,1,1,2,5,7,1,7,7,7,7,A7D6YDQDS5QRQ,2,30
24/9/2019 21:46,24/9/2019 21:47,0,100,90,1,24/9/2019 21:47,R_1DOmIqyzbS6XpN6,2,2,10,3,5,1,5,3,7,5,2,7,3,A3RHJEMZ4EGY2U,0,30
24/9/2019 21:46,24/9/2019 21:48,0,100,67,1,24/9/2019 21:48,R_3O0KlboBuOY9Y4v,4,2,3,3,3,4,4,4,4,4,5,5,4,A1UCB0D27PY623,0,16
24/9/2019 21:46,24/9/2019 21:48,0,100,86,1,24/9/2019 21:48,R_1eQdgi7FyRi5o96,1,0,10,3,3,4,5,6,6,6,6,6,3,A2MOD3TN7HL7II,0,30
24/9/2019 21:46,24/9/2019 21:48,0,100,96,1,24/9/2019 21:48,R_2DTgSDiiW22uPIF,2,2,5,2,1,2,2,1,6,5,4,5,2,AZY06QHJVQNWP,0,20
24/9/2019 21:46,24/9/2019 21:48,0,100,108,1,24/9/2019 21:48,R_RWwBksETsJI23nP,2,1,10,3,3,4,5,6,3,6,6,7,6,A2W8ZODKKQ7RYP,0,30
24/9/2019 21:47,24/9/2019 21:48,0,100,47,1,24/9/2019 21:48,R_1ps41iwqjvHrfLr,2,0,0,3,3,3,3,2,7,2,5,4,4,A2C73Y1COWCA51,0,10
24/9/2019 21:47,24/9/2019 21:48,0,100,66,1,24/9/2019 21:48,R_bfKQjat0JCqKFxf,6,1,3,4,2,3,3,6,2,6,6,6,5,AFK9ALQK5GPNG,0,16
24/9/2019 21:47,24/9/2019 21:48,0,100,80,1,24/9/2019 21:48,R_3iswFbJamgUpMMY,6,1,10,3,2,4,4,6,7,7,7,7,6,A2RVFMCKSSEHDV,2,30
24/9/2019 21:47,24/9/2019 21:48,0,100,58,1,24/9/2019 21:48,R_1js6eClR8Zxodsb,4,2,6,3,2,4,5,6,2,5,6,6,6,A1C2T79XTDHE39,0,22
24/9/2019 21:48,24/9/2019 21:48,0,100,38,1,24/9/2019 21:48,R_smVO8X6gttewP0l,5,1,2,4,3,5,5,7,5,6,6,4,7,A87D3K9YVKTQ7,0,14
24/9/2019 21:47,24/9/2019 21:48,0,100,102,1,24/9/2019 21:48,R_A1jEk89c9VJWUKZ,3,2,10,2,3,1,5,5,6,4,3,5,6,A2RQMEPIHW5BOS,0,30
24/9/2019 21:48,24/9/2019 21:49,0,100,67,1,24/9/2019 21:49,R_RKsfMLDMt2iT4kh,2,1,1,2,1,4,4,1,4,2,4,4,6,A3R457FAWQXZN3,2,12
24/9/2019 21:47,24/9/2019 21:49,0,100,92,1,24/9/2019 21:49,R_3JLxwZPRCiS6Dxg,2,2,5,4,4,2,2,5,7,5,5,7,5,A1FYWSPNO7KN1O,0,20
24/9/2019 21:48,24/9/2019 21:49,0,100,89,1,24/9/2019 21:49,R_33d4uMKaxTnjgYK,2,1,10,3,1,4,4,5,5,4,3,5,6,A1RA8QOAPXYVCC,0,30
24/9/2019 21:47,24/9/2019 21:49,0,100,106,1,24/9/2019 21:49,R_3dL008S6Keupxek,1,1,0,2,4,3,2,2,7,2,3,4,2,ANFWGSQ8BQRZ,0,10
24/9/2019 21:47,24/9/2019 21:49,0,100,109,1,24/9/2019 21:49,R_1pEFW0w8Zhp2meJ,2,1,5,2,3,3,2,4,5,4,4,5,4,AN098C29EGJ6,0,20
24/9/2019 21:48,24/9/2019 21:50,0,100,65,1,24/9/2019 21:50,R_237PKW33jPCvzZN,4,0,1,2,3,2,2,2,4,3,3,5,4,AGDJB8B8CDZ71,0,12
24/9/2019 21:48,24/9/2019 21:50,0,100,80,1,24/9/2019 21:50,R_uxOcWI90yzfPMd3,6,0,10,3,1,4,3,6,2,6,6,7,7,A2A4UAFZ5LW71K,2,30
24/9/2019 21:47,24/9/2019 21:50,0,100,138,1,24/9/2019 21:50,R_2EbZBHtlPNUtEN9,6,0,10,4,3,3,3,7,2,6,6,6,6,A2QK87TCYPFR80,2,30
24/9/2019 21:49,24/9/2019 21:50,0,100,64,1,24/9/2019 21:50,R_3qs2VZ0lp8Ueujr,6,2,10,3,3,3,3,6,2,6,6,6,6,A23Q978GYHTPD3,2,30
24/9/2019 21:48,24/9/2019 21:50,0,100,85,1,24/9/2019 21:50,R_9BLpMNpL6Ygojq9,5,2,10,2,2,4,2,6,5,5,5,5,6,A2Z6NL0CTXY0ZB,0,30
24/9/2019 21:49,24/9/2019 21:50,0,100,56,1,24/9/2019 21:50,R_2aL8kDOuXzsWWaD,6,2,2,4,3,4,4,4,6,4,5,5,4,A1KHRQ121JTDF6,2,14
24/9/2019 21:45,24/9/2019 21:50,0,100,311,1,24/9/2019 21:50,R_r8fbCeMFeJl0DBv,2,2,10,1,3,3,2,3,5,4,4,5,4,A22LQL0UHAOMC9,0,30
