turkid,round,choice,condid,condition,startdate,enddate,timing,time_to_choose,time_to_completion
AM7Y47LTJKDAN,8,1,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:42:12Z,11.163000106811523,203
AM7Y47LTJKDAN,9,0,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:42:21Z,9.632999897003174,203
AM7Y47LTJKDAN,10,2,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:42:29Z,7.958000183105469,203
AM7Y47LTJKDAN,11,2,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:42:40Z,10.900999784469604,203
AM7Y47LTJKDAN,12,2,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:42:45Z,5.245000123977661,203
AM7Y47LTJKDAN,13,2,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:42:55Z,9.621000051498413,203
AM7Y47LTJKDAN,14,2,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:43:03Z,8.003000020980835,203
AM7Y47LTJKDAN,15,1,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:43:09Z,6.290999889373779,203
AM7Y47LTJKDAN,16,0,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:43:18Z,8.671000003814697,203
AM7Y47LTJKDAN,17,1,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:43:29Z,10.466000080108643,203
AM7Y47LTJKDAN,18,1,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:43:37Z,8.598000049591064,203
AM7Y47LTJKDAN,19,1,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:43:48Z,10.562999963760376,203
AM7Y47LTJKDAN,20,2,2,Strongly Increasing,2019-09-24 19:40:38,2019-09-24 19:44:01,2019-09-24T19:43:55Z,6.819999933242798,203
AK3L1YS2HAYL7,1,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:40:55Z,0,102
AK3L1YS2HAYL7,2,2,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:00Z,4.93999981880188,102
AK3L1YS2HAYL7,3,0,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:02Z,2.2070000171661377,102
AK3L1YS2HAYL7,4,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:04Z,2.13700008392334,102
AK3L1YS2HAYL7,5,2,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:07Z,2.759000062942505,102
AK3L1YS2HAYL7,6,0,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:09Z,2.2799999713897705,102
AK3L1YS2HAYL7,7,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:11Z,2.2269999980926514,102
AK3L1YS2HAYL7,8,2,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:14Z,2.7269999980926514,102
AK3L1YS2HAYL7,9,0,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:17Z,3.0880000591278076,102
AK3L1YS2HAYL7,10,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:20Z,2.745999813079834,102
AK3L1YS2HAYL7,11,2,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:22Z,2.1510000228881836,102
AK3L1YS2HAYL7,12,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:26Z,3.486999988555908,102
AK3L1YS2HAYL7,13,0,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:28Z,2.2880001068115234,102
AK3L1YS2HAYL7,14,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:30Z,2.2239999771118164,102
AK3L1YS2HAYL7,15,2,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:32Z,2.0959999561309814,102
AK3L1YS2HAYL7,16,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:34Z,2.0959999561309814,102
AK3L1YS2HAYL7,17,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:37Z,3.111999988555908,102
AK3L1YS2HAYL7,18,1,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:40Z,2.9120001792907715,102
AK3L1YS2HAYL7,19,2,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:43Z,2.4159998893737793,102
AK3L1YS2HAYL7,20,0,0,Flat,2019-09-24 19:40:16,2019-09-24 19:41:58,2019-09-24T19:41:45Z,2.4790000915527344,102
A17TKHT8FEVH0R,1,0,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:40:35Z,0,275
A17TKHT8FEVH0R,2,1,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:40:48Z,12.759999990463257,275
A17TKHT8FEVH0R,3,0,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:40:57Z,9.58400011062622,275
A17TKHT8FEVH0R,4,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:41:06Z,8.496999979019165,275
A17TKHT8FEVH0R,5,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:41:17Z,11.297999858856201,275
A17TKHT8FEVH0R,6,1,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:41:28Z,11.308000087738037,275
A17TKHT8FEVH0R,7,0,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:41:43Z,14.283999919891357,275
A17TKHT8FEVH0R,8,0,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:42:10Z,27.740000009536743,275
A17TKHT8FEVH0R,9,1,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:42:23Z,12.22000002861023,275
A17TKHT8FEVH0R,10,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:42:32Z,9.66100001335144,275
A17TKHT8FEVH0R,11,0,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:42:43Z,11.259000062942505,275
A17TKHT8FEVH0R,12,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:42:54Z,10.41700005531311,275
A17TKHT8FEVH0R,13,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:43:03Z,9.601999998092651,275
A17TKHT8FEVH0R,14,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:43:13Z,9.931999921798706,275
A17TKHT8FEVH0R,15,1,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:43:22Z,8.683000087738037,275
A17TKHT8FEVH0R,16,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:43:27Z,4.4659998416900635,275
A17TKHT8FEVH0R,17,1,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:43:39Z,12.799999952316284,275
A17TKHT8FEVH0R,18,2,0,Flat,2019-09-24 19:40:10,2019-09-24 19:44:45,2019-09-24T19:43:53Z,13.82800006866455,275
