StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DV_1,DV_2,DV_3,DV_4_R,CouldLearn_1,CouldLearn_2,CouldLearn_3,1_Hook,1_Length,1_Tone,1_Content,1_CTA,2_Hook,2_Length,2_Tone,2_Content,2_CTA,EdgeProbability,turkid,condid,replicate
4/24/2024 23:50,4/24/2024 23:51,0,100,79,1,4/24/2024 23:51,R_1OkomNSzAueYHjx,2,2,2,2,1,1,1,0,0,0,1,0,1,2,1,2,1,85,5c4c57609446be00017e6746,0,2
4/24/2024 23:48,4/24/2024 23:52,0,100,197,1,4/24/2024 23:52,R_3Ko3glEV62LFcg9,1,2,0,0,1,1,1,0,0,1,1,1,2,1,1,0,0,65,571fdcb14b8ecc0013c24fcb,0,4
4/24/2024 23:51,4/24/2024 23:52,0,100,63,1,4/24/2024 23:52,R_3QPMtxrXdWJm0gq,2,2,1,-1,2,1,2,2,1,0,1,0,1,2,1,0,1,85,6447b9633f4b280aad385306,1,4
4/24/2024 23:51,4/24/2024 23:52,0,100,78,1,4/24/2024 23:52,R_3Yd4G8Cd3HAK1s5,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,75,5f653ce1f8363c0a4165e03d,1,3
4/24/2024 23:48,4/24/2024 23:52,0,100,232,1,4/24/2024 23:52,R_7myFyk7BKRl3tQn,1,1,1,-1,-1,-1,-1,1,0,1,2,0,2,1,1,0,0,75,600de5491d0f333e281263de,1,2
4/24/2024 23:48,4/24/2024 23:52,0,100,227,1,4/24/2024 23:52,R_2aeFt0gml4BpzXh,2,1,1,-2,1,1,1,2,0,0,2,1,0,2,1,0,0,75,63d5568c03e8842910a652c7,1,1
4/24/2024 23:51,4/24/2024 23:52,0,100,84,1,4/24/2024 23:52,R_3plDhVRfVWcinD3,2,2,2,-2,1,2,1,1,1,0,0,0,2,0,1,1,1,80,6400e710846ec9e2eedb0893,1,0
4/24/2024 23:50,4/24/2024 23:52,0,100,135,1,4/24/2024 23:52,R_2Ug8KjSP655x8es,2,1,1,-2,1,1,0,2,1,0,1,0,0,2,1,1,1,80,6323977fbe559b8a0b01aae6,1,3
4/24/2024 23:50,4/24/2024 23:52,0,100,121,1,4/24/2024 23:52,R_2M66ykBDPgCm6Dw,1,1,1,0,1,1,1,2,0,0,2,0,1,2,1,0,1,85,5c86832642ff490015c7e029,0,2
4/24/2024 23:50,4/24/2024 23:52,0,100,104,1,4/24/2024 23:52,R_1Mm0dQDfKKpxwSS,1,2,1,-1,2,2,1,0,0,0,0,0,1,2,1,1,1,80,66293a672ed5c50b4a896bbb,0,0
4/24/2024 23:50,4/24/2024 23:52,0,100,164,1,4/24/2024 23:52,R_2a17lOIVJhYYirL,2,2,2,-1,2,2,1,2,1,1,2,1,0,2,0,0,0,95,6581c0d833f32d42d1790ee1,1,3
